fio;date;numАлексеев Борис Алексеевич;28.09.2003;0
Волков Артем Владимирович;02.06.2013;1
Новиков Андрей Васильевич;03.08.2008;2
Морозовa Ирина Вадимовна;23.06.1990;3
Федоровa Елена Вадимовна;06.03.1991;4
Петровa Мария Владимировна;21.09.1991;5
Семенов Александр Андреевич;04.07.2025;6
Поповa Наталья Алексеевна;25.12.2018;7
Смирнов Владимир Александрович;04.07.2017;8
Ивановa Наталья Владимировна;31.07.2013;9
Васильевa Ирина Александровна;06.10.1991;10
Новиков Андрей Алексеевич;07.12.2016;11
Попов Борис Васильевич;27.08.2024;12
Иванов Андрей Вадимович;03.01.2016;13
Смирновa Елена Васильевна;08.08.2020;14
Федоров Артем Вадимович;21.06.2018;15
Иванов Алексей Васильевич;07.07.2011;16
Поповa Елена Андреевна;06.05.2020;17
Лебедев Василий Борисович;14.12.2025;18
Алексеевa Екатерина Александровна;09.02.2006;19
Волковa Ирина Вадимовна;08.10.1997;20
Сидоров Дмитрий Александрович;14.06.2017;21
Новиков Владимир Владимирович;29.08.2021;22
Волков Борис Васильевич;15.02.1993;23
Сидоровa Светлана Васильевна;16.05.2019;24
Сидоров Вадим Владимирович;04.01.1995;25
Кузнецовa Наталья Андреевна;25.03.2026;26
Лебедев Александр Александрович;06.10.2020;27
Петров Борис Вадимович;14.05.2007;28
Ивановa Елена Викторовна;24.09.2008;29
Семенов Дмитрий Викторович;12.07.1993;30
Кузнецов Вадим Борисович;07.02.2007;31
Волковa Екатерина Викторовна;19.11.1996;32
Семеновa Наталья Васильевна;25.06.2019;33
Новиков Александр Владимирович;29.11.1994;34
Морозов Дмитрий Борисович;06.12.2001;35
Алексеев Владимир Борисович;11.04.2005;36
Федоровa Наталья Алексеевна;25.06.2012;37
Иванов Артем Вадимович;27.12.1990;38
Егоров Владимир Алексеевич;31.12.2009;39
Лебедевa Екатерина Владимировна;15.06.2001;40
Алексеев Александр Андреевич;04.06.2005;41
Кузнецовa Юлия Андреевна;24.04.2006;42
Федоровa Наталья Васильевна;29.08.2000;43
Поповa Юлия Андреевна;04.12.1994;44
