fio; date; num; discp
Петров Алексей Вадимович;05.07.2018;0;ЗъщщуФгвРи
Иванов Дмитрий Васильевич;10.05.1982;1;фЬпйЯУпУчЯ
Морозов Вадим Викторович;08.09.1982;2;яМлЦЬлЭуср
Васильев Вадим Алексеевич;01.12.1998;3;ФИкСшЧмщЬФ
Семеновa Наталья Борисовна;16.09.2023;4;луФММлЪхАи
Петров Виктор Владимирович;19.06.1990;5;иБЙдгЛЮВаЖ
Поповa Екатерина Андреевна;23.07.2016;6;ФхшщЬйЯЙлН
Морозовa Ольга Владимировна;21.12.2000;7;нНиакЧПдпЬ
Новиков Владимир Викторович;25.10.2006;8;ЮтрлМОцэХР
Петровa Ольга Владимировна;13.01.2012;9;ЛМккЗЭБюлЩ
Петровa Ольга Владимировна;13.01.2012;9;ЛМккЗЭБюлЩ

