fio; date; num; discp
Волковa Юлия Вадимовна;21.03.2003;0;чПмбаШЧФшЩ
Смирновd Мариf Алексеевна;25.09.1987;1;иЯимйзЩтщЙ
Смирновf Мариg Алексеевна;25.09.1987;1;иЯимйзЩтщЙ
Смирновy Мариh Алексеевна;25.09.1987;1;иЯимйзЩтщЙ
Смирновu Мариk Алексеевна;25.09.1987;1;иЯимйзЩтщЙ
Смирновi Мариj Алексеевна;25.09.1987;1;иЯимйзЩтщЙ
Смирновo Мариk Алексеевна;25.09.1987;1;иЯимйзЩтщЙ
Смирновn Мариh Алексеевна;25.09.1987;1;иЯимйзЩтщЙ
Морозов Александр Владимирович;05.09.1996;2;йЫоюЪРЛЗПЁ
Морозов Алексанр Владимирович;05.09.1996;2;йЫоюЪРЛЗПЁ
Федоров Александр Васильевич;08.08.2007;3;ЖлЭЖЬЕоЗВК
Федоровa Анна Борисовна;12.12.2003;4;ЫАэллАТнаХ
Петров Андрей Алексеевич;23.04.2013;5;ТЭьюЯыГВъя
Федоров Артем Борисович;20.11.2004;6;ЬНнПрОГиФЁ
Федоровa Наталья Викторовна;20.02.2025;7;ЗтАЙРРфИжу
Иванов Дмитрий Александрович;05.01.1998;8;щЁсЬзОРЁЁО
Смирновa Мария Александровна;10.07.2018;9;нйхЫуЦыЯЩс
Смирновv Мария Александровна;10.07.2018;9;нйхЫуЦыЯЩс
Смирновs Мария Александровна;10.07.2018;9;нйхЫуЦыЯЩс
